order_id,customer_id,product_id,quantity,unit_price,order_date,status,last_updated
ORD0001,CUST002,PROD002,2,110.0,2024-01-01,pending,2026-02-05 14:41:34
ORD0002,CUST003,PROD003,3,120.0,2024-01-02,completed,2026-02-05 14:41:34
ORD0003,CUST004,PROD001,4,130.0,2024-01-03,pending,2026-02-05 14:41:34
ORD0004,CUST005,PROD002,5,140.0,2024-01-04,completed,2026-02-05 14:41:34
ORD0005,CUST001,PROD003,1,150.0,2024-01-05,pending,2026-02-05 14:41:34
ORD0006,CUST002,PROD001,2,160.0,2024-01-06,completed,2026-02-05 14:41:34
ORD0007,CUST003,PROD002,3,170.0,2024-01-07,pending,2026-02-05 14:41:34
ORD0008,CUST004,PROD003,4,180.0,2024-01-08,completed,2026-02-05 14:41:34
ORD0009,CUST005,PROD001,5,190.0,2024-01-09,pending,2026-02-05 14:41:34
ORD0010,CUST001,PROD002,1,200.0,2024-01-10,completed,2026-02-05 14:41:34
